Index,संस्कृतम्,हिन्दी अर्ध,English Meaning,word,sandhied_word,kaaraka_sambandha,hindi_meaning
,,,,एव,एव,"सम्बन्धः,8.1",ही
,,,,राक्षसम्,राक्षसम्,"विशेषणम्,7.1",राक्षस_को
,रामस्य,राम की,of Rama,तेषाम्,--,"षष्ठीसम्बन्धः,12.1",उनके
,,,,पदानुगान्,--,"कर्म,17.1",पदानुगों_को
,,,,च,--,"समुच्चय_द्योतकः,12.1",च2
,भरतस्य,भरत का,of Barawa,एव,--,"सम्बन्धः,13.1",ही
,,,,रणे,--,"अधिकरणम्,17.1",युद्ध_में
,,,,रामः,--,"कर्ता,17.1",राम_ने
,अभि-षेचनम्,राज्याभिषेकम्,installation(of Bharata),निजघान,--,"अभिहित_कर्ता,16.1;सकर्मक",समूल_नष्ट_किया
,,,,.,-,-,-
,,,,वने,वने,"अधिकरणम्,3.1",वन
,,,,तस्मिन्,तस्मिन्,"विशेषणम्,1.1",उसमें
,22,22,22,निवसता,निवसता,"कर्ता,6.1",सुसज्जित_करता_हुआ
,,,,जन-,जन-स्थान-निवासिनाम्,"षष्ठी-तत्पुरुषः,4.2",जन-
,,,,स्थान-,--,"उपपद-तत्पुरुषः,4.3",स्थान-
13.1.A,सः,वह,he,निवासिनाम्,--,"विशेषणम्,5.1",निवासी_का
,,,,रक्षसाम्,रक्षसां,"षष्ठीसम्बन्धः,9.1",राक्षसों_का
,,,,निहतानि,निहतानि,"कर्ता,7.1",समूल_नष्ट_किये_हुए
,सत्य-वचनात्,सत्य प्रतिज्ञ होने के कारण,due to his speaking the truth,आसन्,आसन्,-,गये
,,,,सहस्राणि,सहस्राणि,"कर्म,6.1",सहस्राणि
,,,,चतुर्दश,चतुर्दश,"विशेषणम्,8.1",चौदह
,,,,.,.,-,-
,राजा,राजा,king,ततः,ततः,"सम्बन्धः,5.2",वहाँ_से
,,,,ज्ञाति-,ज्ञाति-वधं,"षष्ठी-तत्पुरुषः,2.2",ज्ञाति-
,,,,वधम्,--,"कर्म,3.1",वध
,धर्म-पाशेन,धर्म बन्धन से,by the tie of duty,श्रुत्वा,श्रुत्वा,"पूर्वकालः,5.2",सुन_कर
,,,,रावणः,रावणः,"कर्ता,5.2;कर्ता,3.1",रावण
,,,,क्रोध-,क्रोध-मूर्छितः,"तृतीया-तत्पुरुषः,5.2",क्रोध-
,,,,मूर्छितः,--,-,मूर्छित
,संयतः,बँधा हुआ,bound,.,.,-,-
,,,,सहायम्,सहायं,"कर्म,2.1",साथी
,,,,वरयामास,वरयामास,-,वृ2या
13.2.A,वि-वासयामास,निर्वासित किया,exiled,मारीचम्,मारीचं,"सञ्ज्ञा,5.1",मारीच_को
,,,,नाम,नाम,"सञ्ज्ञा_द्योतकः,3.1",नाम_1
,,,,राक्षसम्,राक्षसम्,"कर्म,2.1",राक्षस
,,,,.,.,-,-
,सुतम्,पुत्र को,son,वार्यमाणः,वार्यमाणः,"कर्ता,6.1",
,,,,सु-,सु-बहुशः,"अव्ययीभावः,2.2",सु-
,,,,बहुशः,--,"क्रियाविशेषणम्,1.1",बार_बार
,रामम्,राम,by shri Rama,मारीचेन,मारीचेन,"प्रयोजककर्ता,1.1",मारीच_से
,,,,सः,सः,"विशेषणम्,5.1",वह
,,,,रावणः,रावणः,"प्रयोज्यकर्ता,1.1",रावण
,दशरथः,दशरथ,Dasharatha,(आसीत्),(आसीत्),"अभिहित_कर्ता,1.1",था
,,,,.,.,-,-
,,,,न,न,"प्रतिषेधः,4.1",नहीं
,प्रियम्,प्रिय,be loved,विरोधः,विरोधः,"कर्ता,4.1",विरोध
,,,,बलवता,बलवता,"विशेषणम्,6.1",बल_से
,,,,क्षमः,क्षमः,-,योग्य
14.1.A,सः,वह,he,रावण,रावण,"सम्बोध्यः,4.1",रावण
,,,,तेन,तेन,"सहार्थः,2.1",उससे
,,,,ते,ते,"षष्ठीसम्बन्धः,2.1",वे
,जगाम,गये,went,.,.,-,-
,,,,अन्-,अन्-आदृत्य,"नञ्-तत्पुरुषः,1.2",अन्-
,,,,आदृत्य,--,"पूर्वकालः,7.1",-
,वनं,वन [को],to the forest,तु,तु,"सम्बन्धः,1.2",तो
,,,,तत्,तत्,"विशेषणम्,4.1",उस
,,,,वाक्यम्,वाक्यं,"कर्म,1.2",वाक्य_को
,वीरः,वीर,the hero (Rama),रावणः,रावणः,"कर्ता,7.1;कर्ता,1.2",रावण
,,,,काल-,काल-चोदितः,"तृतीया-तत्पुरुषः,6.2",काल-
,,,,चोदितः,--,"विशेषणम्,5.1",प्रेरणा_किया_हुआ
,प्रति-ज्ञाम्,प्रतिज्ञा का,the pledge,जगाम,जगाम,"अभिहित_कर्ता,5.1;सकर्मक",गया
,,,,सह-,सह-मारीचः,"सहपूर्वपद-व्यधिकरण-बहुव्रीहिः,8.2",साथ
,,,,मारीचः,--,"विशेषणम्,5.1",मारीच
,,,,तस्य,तस्य,"षष्ठीसम्बन्धः,10.2",उसका
,अनु-पालयन्,पालन करते हुए,in order to implement,आश्रम-,आश्रम-पदं,"कर्मधारयः,10.2",आश्रम-
,,,,पदम्,--,"कर्म,7.1",पैर
,,,,तदा,तदा,"कालाधिकरणम्,7.1",तब
,,,,.,.,-,-
14.2.A,पितुः,पिता,his father's,तेन,तेन,"विशेषणम्,2.1",उस
,,,,मायाविना,मायाविना,"प्रयोजककर्तृरहितप्रज्यकर्ता,5.1",ऐन्द्रजालिक_से
,,,,नृप-,नृप-आत्मजौ,"षष्ठी-तत्पुरुषः,3.2",नृप-
,वचन-निर्देशात्,की आज्ञा से,in obedience to command,आत्म-,--,"उपपद-तत्पुरुषः,3.3",आत्म-
,,,,जौ,--,"कर्म,5.1",पुत्र
,,,,दूरम्,दूरम्,"कर्म,5.1",दूर
,,,,अपवाह्य,अपवाह्य,"पूर्वकालः,11.1",हटवा_कर
,कैकेय्याः,कैकेयी की,Kaikeyi,गृध्रम्,--,"विशेषणम्,7.1",लोभी
,,,,जटायुषम्,--,"कर्म,8.1",जटायुस्_को
,,,,हत्वा,--,"पूर्वकालः,11.1",मार_कर
,प्रिय-कारणात्,प्रसन्नता के कारण,with a view to please,रामस्य,--,"षष्ठीसम्बन्धः,10.1",राम_की
,,,,भार्याम्,--,"कर्म,11.1",पत्नी_का
,,,,जहार,--,-,बलात्कार_किया
,,,,.,-,-,-
15.1.A,तम्,राम को,aforesaid,गृध्रम्,गृध्रं,"कर्म,3.1",लोभी
,,,,च,च,"सम्बन्धः,1.1",च1
,,,,निहतम्,निहतं,"कर्म,4.1",समूल_नष्ट_किया_हुआ
,व्रजन्तम्,जाते हुए,setting out,दृष्ट्वा,दृष्ट्वा,"समुच्चितः,6.1",देख_कर
,,,,हृताम्,हृतां,"कर्म,6.1",अपहरण_करने_वाला
,,,,श्रुत्वा,श्रुत्वा,"पूर्वकालः,11.1",सुन_कर
,प्रियः,प्रिय,loving,च,च,"समुच्चय_द्योतकः,6.1",च2
,,,,मैथिलीम्,मैथिलीम्,"कर्म,5.1",सीता_को
,,,,राघवः,राघवः,"कर्ता,11.1;कर्ता,6.1",रघुवंशी_ने
,भ्राता,भाई,younger brother,शोक-,शोक-संतप्तः,"तृतीया-तत्पुरुषः,10.2",शोक-
,,,,संतप्तः,--,"विशेषणम्,9.1",गर्म
,,,,विललाप,विललाप,"अभिहित_कर्ता,9.1;सकर्मक",विलाप_किया
,लक्ष्मणः,लक्ष्मण,Lakshmana,आकुल-,आकुल-इन्द्रियः,"षष्ठी-बहुव्रीहिः,12.2",आकुल-
,,,,इन्द्रियः,--,"विशेषणम्,9.1",इन्द्रिय
,,,,.,.,-,-
,अनु-जगाम,अनुसरण किया,followed,तेन,तेन,"विशेषणम्,4.1",उससे
,,,,एव,एव,"सम्बन्धः,2.1",ही
,,,,शोकेन,शोकेन,"हेतुः,6.1",शोक_से
,,,,गृध्रम्,गृध्रं,"विशेषणम्,7.1",लोभी
,ह,ह,ह,दग्ध्वा,दग्ध्वा,"पूर्वकालः,12.1",जला_कर
,,,,जटायुषम्,जटायुषम्,"कर्म,6.1",जटायुस्_को
,,,,मार्गमाणः,मार्गमाणः,"कर्ता,12.1;कर्ता,6.1",अन्वेषण_करता_हुआ
15.2.A,स्नेहात्,स्नेह से,out of affection,वने,वने,"अधिकरणम्,8.1",वन_में
,,,,सीताम्,सीतां,"कर्म,8.1",सीता_का
,,,,राक्षसम्,राक्षसं,"कर्म,12.1",राक्षस
,विनय-सम्पन्नः,विनम्र,adorned with modesty,संददर्श,संददर्श,"अभिहित_कर्ता,8.1;सकर्मक",देखा
,,,,ह,ह,"सम्बन्धः,12.1",ह
,,,,कबन्धम्,कबन्धं,"सञ्ज्ञा,11.1",पेट_को
